Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,"p = 0.06 bar, Tsat = 36.16°C",,,,,"p = 0.35 bar = 0.035 MPa, Tsat = 72.69°C",,,
Sat.,,23.733,2424.2,2566.6,8.3290,,4.5252,2472.3,2630.7,7.7147
80,,27.133,2487.2,2650.0,8.5811,,4.6247,2483.3,2645.2,7.7561
120,,30.220,2544.7,2726.0,8.7850,,5.1633,2542.5,2723.2,7.9654
160,,33.303,2602.7,2802.5,8.9703,,5.6968,2601.3,2800.7,8.1531
200,,36.383,2661.5,2879.8,9.1409,,6.2279,2660.5,2878.5,8.3249
240,,39.463,2721.1,2957.9,9.2994,,6.7578,2720.4,2956.9,8.4840
280,,42.541,2781.7,3037.0,9.4477,,7.2870,2781.1,3036.2,8.6328
320,,45.619,2843.2,3117.0,9.5874,,7.8157,2842.8,3116.3,8.7727
360,,48.697,2905.8,3198.0,9.7196,,8.3441,2905.4,3197.4,8.9050
400,,51.774,2969.4,3280.0,9.8452,,8.8723,2969.0,3279.6,9.0308
440,,54.852,3034.0,3363.1,9.9651,,9.4004,3033.7,3362.7,9.1507
500,,59.468,3132.9,3489.7,10.1360,,10.1920,3132.7,3489.4,9.3213
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,"p = 0.7 bar = 0.07 MPa, Tsat = 89.93°C",,,,,"p = 1.0 bar = 0.10 MPa, Tsat = 99.61°C",,,
Sat.,,2.3648,2493.9,2659.4,7.4790,,1.6939,2505.6,2674.9,7.3588
100,,2.4343,2509.4,2679.8,7.5344,,1.6959,2506.2,2675.8,7.3610
120,,2.5710,2539.7,2719.7,7.6385,,1.7932,2537.3,2716.6,7.4678
160,,2.8409,2599.5,2798.4,7.8292,,1.9841,2598.0,2796.4,7.6610
200,,3.1083,2659.3,2876.8,8.0024,,2.1724,2658.2,2875.5,7.8356
240,,3.3745,2719.5,2955.7,8.1624,,2.3595,2718.7,2954.6,7.9962
280,,3.6400,2780.4,3035.2,8.3116,,2.5459,2779.8,3034.4,8.1459
320,,3.9050,2842.2,3115.6,8.4518,,2.7317,2841.7,3114.9,8.2864
360,,4.1697,2904.9,3196.8,8.5844,,2.9173,2904.5,3196.3,8.4191
400,,4.4341,2968.6,3279.0,8.7103,,3.1027,2968.3,3278.6,8.5452
440,,4.6985,3033.4,3362.3,8.8304,,3.2879,3033.1,3361.9,8.6653
500,,5.0948,3132.4,3489.1,9.0011,,3.5655,3132.2,3488.7,8.8361
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
